                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0859,                0.93529,                 1.2059,                0.76268,                 0.7124,                0.70858,                0.47839,                 1.1304,                  1.215,                 1.4788,               0.006073,               0.006073,               0.006073
                    122,                   1.06,                0.89206,                 1.1863,                0.82619,                0.69657,                0.72874,                0.50967,                 1.1121,                 1.0619,                 1.4751,                0.00604,                0.00604,                0.00604
                    123,                  1.055,                 0.8679,                 1.1758,                0.85027,                0.68074,                0.73168,                0.50838,                 1.1287,                 1.0857,                   1.48,               0.006007,               0.006007,               0.006007
                    124,                 1.0424,                0.89588,                  1.186,                0.73623,                 0.6849,                 0.6709,                0.43748,                 1.1764,                 1.2085,                 1.5322,               0.005974,               0.005974,               0.005974
                    125,                 1.0721,                0.89317,                 1.1867,                0.78514,                0.68602,                0.69833,                 0.4783,                 1.1808,                 1.1035,                  1.587,               0.005941,               0.005941,               0.005941
                    126,                 1.0567,                0.88225,                 1.1917,                0.85604,                0.69393,                0.72847,                0.52947,                 1.0984,                 1.0583,                 1.5186,               0.005908,               0.005908,               0.005908
                    127,                 1.1043,                0.91714,                 1.2019,                0.76944,                0.73087,                0.72797,                0.51151,                 1.0995,                 1.0766,                 1.4648,               0.005875,               0.005875,               0.005875
                    128,                 1.0603,                0.89248,                 1.2014,                0.82984,                0.69483,                0.70967,                0.48185,                 1.1525,                 1.1258,                 1.5358,               0.005842,               0.005842,               0.005842
                    129,                 1.0256,                0.86316,                 1.1691,                0.83782,                0.72241,                0.72317,                0.50288,                 1.1202,                 1.0996,                  1.502,               0.005809,               0.005809,               0.005809
                    130,                 1.0257,                0.86739,                 1.1886,                0.84788,                0.70449,                0.73984,                0.51884,                 1.0518,                 1.0491,                 1.4557,               0.005776,               0.005776,               0.005776
                    131,                 1.0294,                0.86064,                 1.1766,                0.86013,                0.68602,                0.72139,                0.50907,                 1.1166,                 1.0358,                 1.4965,               0.005743,               0.005743,               0.005743
                    132,                  1.059,                 0.8704,                 1.1764,                0.81536,                0.71768,                0.71245,                0.51204,                 1.1262,                 1.0889,                 1.5054,                0.00571,                0.00571,                0.00571
                    133,                 1.0322,                0.86943,                 1.1756,                0.85007,                0.71768,                0.72522,                0.54415,                 1.0213,                 1.0138,                 1.4574,               0.005677,               0.005677,               0.005677
                    134,                 1.0332,                0.86377,                 1.1871,                0.82502,                0.72153,                0.72811,                0.51014,                 1.0024,                 1.1014,                 1.4101,               0.005644,               0.005644,               0.005644
                    135,                 1.0307,                0.85018,                 1.1735,                0.79895,                0.69202,                0.71958,                0.51047,                 1.1118,                 1.1473,                 1.4841,               0.005611,               0.005611,               0.005611
                    136,                 1.0476,                0.87418,                 1.1631,                0.85893,                0.69082,                0.72762,                 0.5068,                 1.1401,                 1.0734,                  1.553,               0.005578,               0.005578,               0.005578
                    137,                 1.0221,                0.83993,                 1.1683,                0.82685,                0.71768,                 0.7321,                0.52095,                 1.0442,                 1.0412,                 1.4594,               0.005545,               0.005545,               0.005545
                    138,                  1.003,                0.84337,                 1.1518,                0.80282,                0.69827,                0.70596,                0.50089,                 1.0887,                 1.1317,                 1.4624,               0.005512,               0.005512,               0.005512
                    139,                 1.0338,                0.85207,                  1.175,                0.86045,                0.69954,                0.73684,                0.52636,                 1.1014,                 1.0456,                 1.4895,               0.005479,               0.005479,               0.005479
                    140,                0.99799,                0.82013,                 1.1387,                0.81792,                0.73087,                0.73717,                0.52109,                 1.0797,                 1.0798,                 1.4605,               0.005446,               0.005446,               0.005446
                    141,                  1.013,                0.84729,                 1.1657,                0.84196,                0.70282,                0.75002,                0.55327,                  1.036,                 1.0085,                 1.4483,               0.005413,               0.005413,               0.005413
                    142,                 1.0364,                0.84252,                 1.1684,                0.85033,                0.70712,                0.74369,                0.52278,                 1.1966,                 1.0026,                 1.5326,                0.00538,                0.00538,                0.00538
                    143,                 1.0331,                0.86453,                 1.1688,                0.76565,                0.73087,                0.73212,                0.54036,                 1.0039,                 1.0284,                 1.4464,               0.005347,               0.005347,               0.005347
                    144,                 1.0172,                0.87136,                 1.1681,                0.78838,                0.70775,                0.72472,                0.53623,                 1.0393,                 1.0787,                 1.4884,               0.005314,               0.005314,               0.005314
                    145,                0.98932,                0.82722,                 1.1675,                0.81911,                0.71685,                0.74581,                0.53743,                 1.0516,                 1.0114,                 1.4637,               0.005281,               0.005281,               0.005281
                    146,                 1.0467,                0.87847,                 1.1788,                0.82285,                0.68633,                0.70376,                0.52001,                 1.0359,                 1.1134,                 1.4259,               0.005248,               0.005248,               0.005248
                    147,                0.99755,                0.84032,                 1.1566,                0.82496,                0.72559,                 0.7254,                0.51971,                 1.0611,                 1.0198,                 1.4634,               0.005215,               0.005215,               0.005215
                    148,                0.99783,                0.84565,                 1.1547,                0.82047,                0.72351,                0.73957,                0.53584,                 1.0192,                0.97887,                 1.4136,               0.005182,               0.005182,               0.005182
                    149,                 1.0151,                0.80386,                 1.1601,                0.81177,                0.72296,                0.73562,                0.52201,                 1.0905,                 1.0381,                 1.4902,               0.005149,               0.005149,               0.005149
                    150,                0.99718,                0.85628,                 1.1568,                0.80672,                0.70482,                0.71133,                0.50922,                 1.0377,                 1.0825,                 1.4687,               0.005116,               0.005116,               0.005116
                    151,                 0.9777,                 0.8075,                 1.1376,                0.86808,                0.72823,                0.73146,                0.51231,                 1.1053,                 1.0284,                 1.4886,               0.005083,               0.005083,               0.005083
                    152,                 1.0132,                0.84253,                 1.1668,                0.84813,                0.73879,                0.75671,                0.54878,                 1.0391,                0.96211,                 1.4246,                0.00505,                0.00505,                0.00505
                    153,                0.99128,                0.81346,                 1.1448,                0.78332,                0.71768,                0.70117,                0.49445,                   1.02,                 1.0795,                 1.4787,               0.005017,               0.005017,               0.005017
                    154,                0.98373,                0.82731,                 1.1577,                0.80822,                0.72823,                0.72864,                0.52715,                 1.0507,                0.98585,                 1.5271,               0.004984,               0.004984,               0.004984
